id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
641;;;;;;;;;;;Rio Doce;;;;;;;;;;;;;;Votorantim;;
642;;;;;;;;;;;Rio do Prado;;;;;;;;;;;;;;Votuporanga;;
643;;;;;;;;;;;Rio Espera;;;;;;;;;;;;;;Zacarias;;
644;;;;;;;;;;;Rio Manso;;;;;;;;;;;;;;Chavantes;;
645;;;;;;;;;;;Rio Novo;;;;;;;;;;;;;;Estiva Gerbi;;
646;;;;;;;;;;;Rio Paranaíba;;;;;;;;;;;;;;;;
647;;;;;;;;;;;Rio Pardo de Minas;;;;;;;;;;;;;;;;
648;;;;;;;;;;;Rio Piracicaba;;;;;;;;;;;;;;;;
649;;;;;;;;;;;Rio Pomba;;;;;;;;;;;;;;;;
650;;;;;;;;;;;Rio Preto;;;;;;;;;;;;;;;;
651;;;;;;;;;;;Rio Vermelho;;;;;;;;;;;;;;;;
652;;;;;;;;;;;Ritápolis;;;;;;;;;;;;;;;;
653;;;;;;;;;;;Rochedo de Minas;;;;;;;;;;;;;;;;
654;;;;;;;;;;;Rodeiro;;;;;;;;;;;;;;;;
655;;;;;;;;;;;Romaria;;;;;;;;;;;;;;;;
656;;;;;;;;;;;Rosário da Limeira;;;;;;;;;;;;;;;;
657;;;;;;;;;;;Rubelita;;;;;;;;;;;;;;;;
658;;;;;;;;;;;Rubim;;;;;;;;;;;;;;;;
659;;;;;;;;;;;Sabará;;;;;;;;;;;;;;;;
660;;;;;;;;;;;Sabinópolis;;;;;;;;;;;;;;;;
661;;;;;;;;;;;Sacramento;;;;;;;;;;;;;;;;
662;;;;;;;;;;;Salinas;;;;;;;;;;;;;;;;
663;;;;;;;;;;;Salto da Divisa;;;;;;;;;;;;;;;;
664;;;;;;;;;;;Santa Bárbara;;;;;;;;;;;;;;;;
665;;;;;;;;;;;Santa Bárbara do Leste;;;;;;;;;;;;;;;;
666;;;;;;;;;;;Santa Bárbara do Monte Verde;;;;;;;;;;;;;;;;
667;;;;;;;;;;;Santa Bárbara do Tugúrio;;;;;;;;;;;;;;;;
668;;;;;;;;;;;Santa Cruz de Minas;;;;;;;;;;;;;;;;
669;;;;;;;;;;;Santa Cruz de Salinas;;;;;;;;;;;;;;;;
670;;;;;;;;;;;Santa Cruz do Escalvado;;;;;;;;;;;;;;;;
671;;;;;;;;;;;Santa Efigênia de Minas;;;;;;;;;;;;;;;;
672;;;;;;;;;;;Santa fé de Minas;;;;;;;;;;;;;;;;
673;;;;;;;;;;;Santa Helena de Minas;;;;;;;;;;;;;;;;
674;;;;;;;;;;;Santa Juliana;;;;;;;;;;;;;;;;
675;;;;;;;;;;;Santa Luzia;;;;;;;;;;;;;;;;
676;;;;;;;;;;;Santa Margarida;;;;;;;;;;;;;;;;
677;;;;;;;;;;;Santa Maria de Itabira;;;;;;;;;;;;;;;;
678;;;;;;;;;;;Santa Maria do Salto;;;;;;;;;;;;;;;;
679;;;;;;;;;;;Santa Maria do Suaçuí;;;;;;;;;;;;;;;;
680;;;;;;;;;;;Santana da Vargem;;;;;;;;;;;;;;;;
681;;;;;;;;;;;Santana de Cataguases;;;;;;;;;;;;;;;;
682;;;;;;;;;;;Santana de Pirapama;;;;;;;;;;;;;;;;
683;;;;;;;;;;;Santana do Deserto;;;;;;;;;;;;;;;;
684;;;;;;;;;;;Santana do Garambéu;;;;;;;;;;;;;;;;
685;;;;;;;;;;;Santana do Jacaré;;;;;;;;;;;;;;;;
686;;;;;;;;;;;Santana do Manhuaçu;;;;;;;;;;;;;;;;
687;;;;;;;;;;;Santana do Paraíso;;;;;;;;;;;;;;;;
688;;;;;;;;;;;Santana do Riacho;;;;;;;;;;;;;;;;
689;;;;;;;;;;;Santana Dos Montes;;;;;;;;;;;;;;;;
690;;;;;;;;;;;Santa Rita de Caldas;;;;;;;;;;;;;;;;
691;;;;;;;;;;;Santa Rita de Jacutinga;;;;;;;;;;;;;;;;
692;;;;;;;;;;;Santa Rita de Minas;;;;;;;;;;;;;;;;
693;;;;;;;;;;;Santa Rita de Ibitipoca;;;;;;;;;;;;;;;;
694;;;;;;;;;;;Santa Rita do Itueto;;;;;;;;;;;;;;;;
695;;;;;;;;;;;Santa Rita do Sapucaí;;;;;;;;;;;;;;;;
696;;;;;;;;;;;Santa Rosa da Serra;;;;;;;;;;;;;;;;
697;;;;;;;;;;;Santa Vitória;;;;;;;;;;;;;;;;
698;;;;;;;;;;;Santo Antônio do Amparo;;;;;;;;;;;;;;;;
699;;;;;;;;;;;Santo Antônio do Aventureiro;;;;;;;;;;;;;;;;
700;;;;;;;;;;;Santo Antônio do Grama;;;;;;;;;;;;;;;;
701;;;;;;;;;;;Santo Antônio do Itambé;;;;;;;;;;;;;;;;
702;;;;;;;;;;;Santo Antônio do Jacinto;;;;;;;;;;;;;;;;
703;;;;;;;;;;;Santo Antônio do Monte;;;;;;;;;;;;;;;;
704;;;;;;;;;;;Santo Antônio do Retiro;;;;;;;;;;;;;;;;
705;;;;;;;;;;;Santo Antônio do Rio Abaixo;;;;;;;;;;;;;;;;
706;;;;;;;;;;;Santo Hipólito;;;;;;;;;;;;;;;;
707;;;;;;;;;;;Santos Dumont;;;;;;;;;;;;;;;;
708;;;;;;;;;;;São Bento Abade;;;;;;;;;;;;;;;;
709;;;;;;;;;;;São Brás do Suaçuí;;;;;;;;;;;;;;;;
710;;;;;;;;;;;São Domingos Das Dores;;;;;;;;;;;;;;;;
711;;;;;;;;;;;São Domingos do Prata;;;;;;;;;;;;;;;;
712;;;;;;;;;;;São Félix de Minas;;;;;;;;;;;;;;;;
713;;;;;;;;;;;São Francisco;;;;;;;;;;;;;;;;
714;;;;;;;;;;;São Francisco de Paula;;;;;;;;;;;;;;;;
715;;;;;;;;;;;São Francisco de Sales;;;;;;;;;;;;;;;;
716;;;;;;;;;;;São Francisco do Glória;;;;;;;;;;;;;;;;
717;;;;;;;;;;;São Geraldo;;;;;;;;;;;;;;;;
718;;;;;;;;;;;São Geraldo da Piedade;;;;;;;;;;;;;;;;
719;;;;;;;;;;;São Geraldo do Baixio;;;;;;;;;;;;;;;;
720;;;;;;;;;;;São Gonçalo do Abaeté;;;;;;;;;;;;;;;;
721;;;;;;;;;;;São Gonçalo do Pará;;;;;;;;;;;;;;;;
722;;;;;;;;;;;São Gonçalo do Rio Abaixo;;;;;;;;;;;;;;;;
723;;;;;;;;;;;São Gonçalo do Sapucaí;;;;;;;;;;;;;;;;
724;;;;;;;;;;;São Gotardo;;;;;;;;;;;;;;;;
725;;;;;;;;;;;São João Batista do Glória;;;;;;;;;;;;;;;;
726;;;;;;;;;;;São João da Lagoa;;;;;;;;;;;;;;;;
727;;;;;;;;;;;São João da Mata;;;;;;;;;;;;;;;;
728;;;;;;;;;;;São João da Ponte;;;;;;;;;;;;;;;;
729;;;;;;;;;;;São João Das Missões;;;;;;;;;;;;;;;;
730;;;;;;;;;;;São João Del Rei;;;;;;;;;;;;;;;;
731;;;;;;;;;;;São João do Manhuaçu;;;;;;;;;;;;;;;;
732;;;;;;;;;;;São João do Manteninha;;;;;;;;;;;;;;;;
733;;;;;;;;;;;São João do Oriente;;;;;;;;;;;;;;;;
734;;;;;;;;;;;São João do Pacuí;;;;;;;;;;;;;;;;
735;;;;;;;;;;;São João do Paraíso;;;;;;;;;;;;;;;;
736;;;;;;;;;;;São João Evangelista;;;;;;;;;;;;;;;;
737;;;;;;;;;;;São João Nepomuceno;;;;;;;;;;;;;;;;
738;;;;;;;;;;;São Joaquim de Bicas;;;;;;;;;;;;;;;;
739;;;;;;;;;;;São José da Barra;;;;;;;;;;;;;;;;
740;;;;;;;;;;;São José da Lapa;;;;;;;;;;;;;;;;
741;;;;;;;;;;;São José da Safira;;;;;;;;;;;;;;;;
742;;;;;;;;;;;São José da Varginha;;;;;;;;;;;;;;;;
743;;;;;;;;;;;São José do Alegre;;;;;;;;;;;;;;;;
744;;;;;;;;;;;São José do Divino;;;;;;;;;;;;;;;;
745;;;;;;;;;;;São José do Goiabal;;;;;;;;;;;;;;;;
746;;;;;;;;;;;São José do Jacuri;;;;;;;;;;;;;;;;
747;;;;;;;;;;;São José do Mantimento;;;;;;;;;;;;;;;;
748;;;;;;;;;;;São Lourenço;;;;;;;;;;;;;;;;
749;;;;;;;;;;;São Miguel do Anta;;;;;;;;;;;;;;;;
750;;;;;;;;;;;São Pedro da União;;;;;;;;;;;;;;;;
751;;;;;;;;;;;São Pedro Dos Ferros;;;;;;;;;;;;;;;;
752;;;;;;;;;;;São Pedro do Suaçuí;;;;;;;;;;;;;;;;
753;;;;;;;;;;;São Romão;;;;;;;;;;;;;;;;
754;;;;;;;;;;;São Roque de Minas;;;;;;;;;;;;;;;;
755;;;;;;;;;;;São Sebastião da Bela Vista;;;;;;;;;;;;;;;;
756;;;;;;;;;;;São Sebastião da Vargem Alegre;;;;;;;;;;;;;;;;
757;;;;;;;;;;;São Sebastião do Anta;;;;;;;;;;;;;;;;
758;;;;;;;;;;;São Sebastião do Maranhão;;;;;;;;;;;;;;;;
759;;;;;;;;;;;São Sebastião do Oeste;;;;;;;;;;;;;;;;
760;;;;;;;;;;;São Sebastião do Paraíso;;;;;;;;;;;;;;;;
761;;;;;;;;;;;São Sebastião do Rio Preto;;;;;;;;;;;;;;;;
762;;;;;;;;;;;São Sebastião do Rio Verde;;;;;;;;;;;;;;;;
763;;;;;;;;;;;São Tiago;;;;;;;;;;;;;;;;
764;;;;;;;;;;;São Tomás de Aquino;;;;;;;;;;;;;;;;
765;;;;;;;;;;;São Thomé Das Letras;;;;;;;;;;;;;;;;
766;;;;;;;;;;;São Vicente de Minas;;;;;;;;;;;;;;;;
767;;;;;;;;;;;Sapucaí-mirim;;;;;;;;;;;;;;;;
768;;;;;;;;;;;Sardoá;;;;;;;;;;;;;;;;
769;;;;;;;;;;;Sarzedo;;;;;;;;;;;;;;;;
770;;;;;;;;;;;Setubinha;;;;;;;;;;;;;;;;
771;;;;;;;;;;;Sem-peixe;;;;;;;;;;;;;;;;
772;;;;;;;;;;;Senador Amaral;;;;;;;;;;;;;;;;
773;;;;;;;;;;;Senador Cortes;;;;;;;;;;;;;;;;
774;;;;;;;;;;;Senador Firmino;;;;;;;;;;;;;;;;
775;;;;;;;;;;;Senador José Bento;;;;;;;;;;;;;;;;
776;;;;;;;;;;;Senador Modestino Gonçalves;;;;;;;;;;;;;;;;
777;;;;;;;;;;;Senhora de Oliveira;;;;;;;;;;;;;;;;
778;;;;;;;;;;;Senhora do Porto;;;;;;;;;;;;;;;;
779;;;;;;;;;;;Senhora Dos Remédios;;;;;;;;;;;;;;;;
780;;;;;;;;;;;Sericita;;;;;;;;;;;;;;;;
781;;;;;;;;;;;Seritinga;;;;;;;;;;;;;;;;
782;;;;;;;;;;;Serra Azul de Minas;;;;;;;;;;;;;;;;
783;;;;;;;;;;;Serra da Saudade;;;;;;;;;;;;;;;;
784;;;;;;;;;;;Serra Dos Aimorés;;;;;;;;;;;;;;;;
785;;;;;;;;;;;Serra do Salitre;;;;;;;;;;;;;;;;
786;;;;;;;;;;;Serrania;;;;;;;;;;;;;;;;
787;;;;;;;;;;;Serranópolis de Minas;;;;;;;;;;;;;;;;
788;;;;;;;;;;;Serranos;;;;;;;;;;;;;;;;
789;;;;;;;;;;;Serro;;;;;;;;;;;;;;;;
790;;;;;;;;;;;Sete Lagoas;;;;;;;;;;;;;;;;
791;;;;;;;;;;;Silveirânia;;;;;;;;;;;;;;;;
792;;;;;;;;;;;Silvianópolis;;;;;;;;;;;;;;;;
793;;;;;;;;;;;Simão Pereira;;;;;;;;;;;;;;;;
794;;;;;;;;;;;Simonésia;;;;;;;;;;;;;;;;
795;;;;;;;;;;;Sobrália;;;;;;;;;;;;;;;;
796;;;;;;;;;;;Soledade de Minas;;;;;;;;;;;;;;;;
797;;;;;;;;;;;Tabuleiro;;;;;;;;;;;;;;;;
798;;;;;;;;;;;Taiobeiras;;;;;;;;;;;;;;;;
799;;;;;;;;;;;Taparuba;;;;;;;;;;;;;;;;
800;;;;;;;;;;;Tapira;;;;;;;;;;;;;;;;
801;;;;;;;;;;;Tapiraí;;;;;;;;;;;;;;;;
802;;;;;;;;;;;Taquaraçu de Minas;;;;;;;;;;;;;;;;
803;;;;;;;;;;;Tarumirim;;;;;;;;;;;;;;;;
804;;;;;;;;;;;Teixeiras;;;;;;;;;;;;;;;;
805;;;;;;;;;;;Teófilo Otoni;;;;;;;;;;;;;;;;
806;;;;;;;;;;;Timóteo;;;;;;;;;;;;;;;;
807;;;;;;;;;;;Tiradentes;;;;;;;;;;;;;;;;
808;;;;;;;;;;;Tiros;;;;;;;;;;;;;;;;
809;;;;;;;;;;;Tocantins;;;;;;;;;;;;;;;;
810;;;;;;;;;;;Tocos do Moji;;;;;;;;;;;;;;;;
811;;;;;;;;;;;Toledo;;;;;;;;;;;;;;;;
812;;;;;;;;;;;Tombos;;;;;;;;;;;;;;;;
813;;;;;;;;;;;Três Corações;;;;;;;;;;;;;;;;
814;;;;;;;;;;;Três Marias;;;;;;;;;;;;;;;;
815;;;;;;;;;;;Três Pontas;;;;;;;;;;;;;;;;
816;;;;;;;;;;;Tumiritinga;;;;;;;;;;;;;;;;
817;;;;;;;;;;;Tupaciguara;;;;;;;;;;;;;;;;
818;;;;;;;;;;;Turmalina;;;;;;;;;;;;;;;;
819;;;;;;;;;;;Turvolândia;;;;;;;;;;;;;;;;
820;;;;;;;;;;;Ubá;;;;;;;;;;;;;;;;
821;;;;;;;;;;;Ubaí;;;;;;;;;;;;;;;;
822;;;;;;;;;;;Ubaporanga;;;;;;;;;;;;;;;;
823;;;;;;;;;;;Uberaba;;;;;;;;;;;;;;;;
824;;;;;;;;;;;Uberlândia;;;;;;;;;;;;;;;;
825;;;;;;;;;;;Umburatiba;;;;;;;;;;;;;;;;
826;;;;;;;;;;;Unaí;;;;;;;;;;;;;;;;
827;;;;;;;;;;;União de Minas;;;;;;;;;;;;;;;;
828;;;;;;;;;;;Uruana de Minas;;;;;;;;;;;;;;;;
829;;;;;;;;;;;Urucânia;;;;;;;;;;;;;;;;
830;;;;;;;;;;;Urucuia;;;;;;;;;;;;;;;;
831;;;;;;;;;;;Vargem Alegre;;;;;;;;;;;;;;;;
832;;;;;;;;;;;Vargem Bonita;;;;;;;;;;;;;;;;
833;;;;;;;;;;;Vargem Grande do Rio Pardo;;;;;;;;;;;;;;;;
834;;;;;;;;;;;Varginha;;;;;;;;;;;;;;;;
835;;;;;;;;;;;Varjão de Minas;;;;;;;;;;;;;;;;
836;;;;;;;;;;;Várzea da Palma;;;;;;;;;;;;;;;;
837;;;;;;;;;;;Varzelândia;;;;;;;;;;;;;;;;
838;;;;;;;;;;;Vazante;;;;;;;;;;;;;;;;
839;;;;;;;;;;;Verdelândia;;;;;;;;;;;;;;;;
840;;;;;;;;;;;Veredinha;;;;;;;;;;;;;;;;
841;;;;;;;;;;;Veríssimo;;;;;;;;;;;;;;;;
842;;;;;;;;;;;Vermelho Novo;;;;;;;;;;;;;;;;
843;;;;;;;;;;;Vespasiano;;;;;;;;;;;;;;;;
844;;;;;;;;;;;Viçosa;;;;;;;;;;;;;;;;
845;;;;;;;;;;;Vieiras;;;;;;;;;;;;;;;;
846;;;;;;;;;;;Mathias Lobato;;;;;;;;;;;;;;;;
847;;;;;;;;;;;Virgem da Lapa;;;;;;;;;;;;;;;;
848;;;;;;;;;;;Virgínia;;;;;;;;;;;;;;;;
849;;;;;;;;;;;Virginópolis;;;;;;;;;;;;;;;;
850;;;;;;;;;;;Virgolândia;;;;;;;;;;;;;;;;
851;;;;;;;;;;;Visconde do Rio Branco;;;;;;;;;;;;;;;;
852;;;;;;;;;;;Volta Grande;;;;;;;;;;;;;;;;
853;;;;;;;;;;;Wenceslau Braz;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
