id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
135;;;;;Formosa do Rio Preto;Parambu;;;Luziânia;Pastos Bons;Capetinga;;Várzea Grande;Tracuateua;Guarapuava;Passagem;Rio Formoso;Murici Dos Portelas;;São José do Seridó;Dom Feliciano;;;Jardinópolis;Colina;;Tocantinópolis
136;;;;;Gandu;Paramoti;;;Mairipotaba;Paulino Neves;Capim Branco;;Vera;Trairão;Guaraqueçaba;Patos;Sairé;Nazaré do Piauí;;São Miguel;Dom Pedro de Alcântara;;;Joaçaba;Colômbia;;Tupirama
137;;;;;Gavião;Pedra Branca;;;Mambaí;Paulo Ramos;Capinópolis;;Vila Rica;Tucumã;Guaratuba;Paulista;Salgadinho;Nazária;;São Miguel do Gostoso;Dom Pedrito;;;Joinville;Conchal;;Tupiratins
138;;;;;Gentio do Ouro;Penaforte;;;Mara Rosa;Pedreiras;Capitão Andrade;;Nova Guarita;Tucuruí;Honório Serpa;Pedra Branca;Salgueiro;Nossa Senhora de Nazaré;;São Paulo do Potengi;Dona Francisca;;;José Boiteux;Conchas;;Wanderlândia
139;;;;;Glória;Pentecoste;;;Marzagão;Pedro do Rosário;Capitão Enéas;;Nova Marilândia;Ulianópolis;Ibaiti;Pedra Lavrada;Saloá;Nossa Senhora Dos Remédios;;São Pedro;Doutor Maurício Cardoso;;;Jupiá;Cordeirópolis;;Xambioá
140;;;;;Gongogi;Pereiro;;;Matrinchã;Penalva;Capitólio;;Nova Maringá;Uruará;Ibema;Pedras de Fogo;Sanharó;Novo Oriente do Piauí;;São Rafael;Doutor Ricardo;;;Lacerdópolis;Coroados;;
141;;;;;Governador Mangabeira;Pindoretama;;;Maurilândia;Peri Mirim;Caputira;;Nova Monte Verde;Vigia;Ibiporã;Piancó;Santa Cruz;Novo Santo Antônio;;São Tomé;Eldorado do Sul;;;Lages;Coronel Macedo;;
142;;;;;Guajeru;Piquet Carneiro;;;Mimoso de Goiás;Peritoró;Caraí;;;Viseu;Icaraíma;Picuí;Santa Cruz da Baixa Verde;Oeiras;;São Vicente;Encantado;;;Laguna;Corumbataí;;
143;;;;;Guanambi;Pires Ferreira;;;Minaçu;Pindaré-mirim;Caranaíba;;;Vitória do Xingu;Iguaraçu;Pilar;Santa Cruz do Capibaribe;Olho D´água do Piauí;;Senador Elói de Souza;Encruzilhada do Sul;;;Lajeado Grande;Cosmópolis;;
144;;;;;Guaratinga;Poranga;;;Mineiros;Pinheiro;Carandaí;;;Xinguara;Iguatu;Pilões;Santa Filomena;Padre Marcos;;Senador Georgino Avelino;Engenho Velho;;;Laurentino;Cosmorama;;
145;;;;;Heliópolis;Porteiras;;;Moiporá;Pio Xii;Carangola;;;;Imbaú;Pilõezinhos;Santa Maria da Boa Vista;Paes Landim;;Serra de São Bento;Entre-ijuís;;;Lauro Muller;Cotia;;
146;;;;;Iaçu;Potengi;;;Monte Alegre de Goiás;Pirapemas;Caratinga;;;;Imbituva;Pirpirituba;Santa Maria do Cambucá;Pajeú do Piauí;;Serra do Mel;Entre Rios do Sul;;;Lebon Régis;Cravinhos;;
147;;;;;Ibiassucê;Potiretama;;;Montes Claros de Goiás;Poção de Pedras;Carbonita;;;;Inácio Martins;Pitimbu;Santa Terezinha;Palmeira do Piauí;;Serra Negra do Norte;Erebango;;;Leoberto Leal;Cristais Paulista;;
148;;;;;Ibicaraí;Quiterianópolis;;;Montividiu;Porto Franco;Careaçu;;;;Inajá;Pocinhos;São Benedito do Sul;Palmeirais;;Serrinha;Erechim;;;Lindóia do Sul;Cruzália;;
149;;;;;Ibicoara;Quixadá;;;Montividiu do Norte;Porto Rico do Maranhão;Carlos Chagas;;;;Indianópolis;Poço Dantas;São Bento do Una;Paquetá;;Serrinha Dos Pintos;Ernestina;;;Lontras;Cruzeiro;;
150;;;;;Ibicuí;Quixelô;;;Morrinhos;Presidente Dutra;Carmésia;;;;Ipiranga;Poço de José de Moura;São Caitano;Parnaguá;;Severiano Melo;Herval;;;Luiz Alves;Cubatão;;
151;;;;;Ibipeba;Quixeramobim;;;Morro Agudo de Goiás;Presidente Juscelino;Carmo da Cachoeira;;;;Iporã;Pombal;São João;Parnaíba;;Sítio Novo;Erval Grande;;;Luzerna;Cunha;;
152;;;;;Ibipitanga;Quixeré;;;Mossâmedes;Presidente Médici;Carmo da Mata;;;;Iracema do Oeste;Prata;São Joaquim do Monte;Passagem Franca do Piauí;;Taboleiro Grande;Erval Seco;;;Macieira;Descalvado;;
153;;;;;Ibiquera;Redenção;;;Mozarlândia;Presidente Sarney;Carmo de Minas;;;;Irati;Princesa Isabel;São José da Coroa Grande;Patos do Piauí;;Taipu;Esmeralda;;;Mafra;Diadema;;
154;;;;;Ibirapitanga;Reriutaba;;;Mundo Novo;Presidente Vargas;Carmo do Cajuru;;;;Iretama;Puxinanã;São José do Belmonte;Pau D´arco do Piauí;;Tangará;Esperança do Sul;;;Major Gercino;Dirce Reis;;
155;;;;;Ibirapuã;Russas;;;Mutunópolis;Primeira Cruz;Carmo do Paranaíba;;;;Itaguajé;Queimadas;São José do Egito;Paulistana;;Tenente Ananias;Espumoso;;;Major Vieira;Divinolândia;;
156;;;;;Ibirataia;Saboeiro;;;Nazário;Raposa;Carmo do Rio Claro;;;;Itaipulândia;Quixabá;São Lourenço da Mata;Pavussu;;Tenente Laurentino Cruz;Estação;;;Maracajá;Dobrada;;
157;;;;;Ibitiara;Salitre;;;Nerópolis;Riachão;Carmópolis de Minas;;;;Itambaracá;Remígio;São Vicente Ferrer;Pedro ii;;Tibau do Sul;Estância Velha;;;Maravilha;Dois Córregos;;
158;;;;;Ibititá;Santana do Acaraú;;;Niquelândia;Ribamar Fiquene;Carneirinho;;;;Itambé;Pedro Régis;Serra Talhada;Pedro Laurentino;;Timbaúba Dos Batistas;Esteio;;;Marema;Dolcinópolis;;
159;;;;;Ibotirama;Santana do Cariri;;;Nova América;Rosário;Carrancas;;;;Itapejara D´oeste;Riachão;Serrita;Nova Santa Rita;;Touros;Estrela;;;Massaranduba;Dourado;;
160;;;;;Ichu;Santa Quitéria;;;Nova Aurora;Sambaíba;Carvalhópolis;;;;Itaperuçu;Riachão do Bacamarte;Sertânia;Picos;;Triunfo Potiguar;Estrela Velha;;;Matos Costa;Dracena;;
161;;;;;Igaporã;São Benedito;;;Nova Crixás;Santa Filomena do Maranhão;Carvalhos;;;;Itaúna do Sul;Riachão do Poço;Sirinhaém;Pimenteiras;;Umarizal;Eugênio de Castro;;;Meleiro;Duartina;;
162;;;;;Igrapiúna;São Gonçalo do Amarante;;;Nova Glória;Santa Helena;Casa Grande;;;;Ivaí;Riacho de Santo Antônio;Moreilândia;Pio ix;;Upanema;Fagundes Varela;;;Mirim Doce;Dumont;;
163;;;;;Iguaí;São João do Jaguaribe;;;Nova Iguaçu de Goiás;Santa Inês;Cascalho Rico;;;;Ivaiporã;Riacho Dos Cavalos;Solidão;Piracuruca;;Várzea;Farroupilha;;;Modelo;Echaporã;;
164;;;;;Ilhéus;São Luís do Curu;;;Nova Roma;Santa Luzia;Cássia;;;;Ivaté;Rio Tinto;Surubim;Piripiri;;Venha-ver;Faxinal do Soturno;;;Mondaí;Eldorado;;
165;;;;;Inhambupe;Senador Pompeu;;;Nova Veneza;Santa Luzia do Paruá;Conceição da Barra de Minas;;;;Ivatuba;Salgadinho;Tabira;Porto;;Vera Cruz;Faxinalzinho;;;Monte Carlo;Elias Fausto;;
166;;;;;Ipecaetá;Senador sá;;;Novo Brasil;Santa Quitéria do Maranhão;Cataguases;;;;Jaboti;Salgado de São Félix;Tacaimbó;Porto Alegre do Piauí;;Viçosa;Fazenda Vilanova;;;Monte Castelo;Elisiário;;
167;;;;;Ipiaú;Sobral;;;Novo Gama;Santa Rita;Catas Altas;;;;Jacarezinho;Santa Cecília;Tacaratu;Prata do Piauí;;Vila Flor;Feliz;;;Morro da Fumaça;Embaúba;;
168;;;;;Ipirá;Solonópole;;;Novo Planalto;Santana do Maranhão;Catas Altas da Noruega;;;;Jaguapitã;Santa Cruz;Tamandaré;Queimada Nova;;;Flores da Cunha;;;Morro Grande;Embu;;
169;;;;;Ipupiara;Tabuleiro do Norte;;;Orizona;Santo Amaro do Maranhão;Catuji;;;;Jaguariaíva;Santa Helena;Taquaritinga do Norte;Redenção do Gurguéia;;;Floriano Peixoto;;;Navegantes;Embu-guaçu;;
170;;;;;Irajuba;Tamboril;;;Ouro Verde de Goiás;Santo Antônio Dos Lopes;Catuti;;;;Jandaia do Sul;Santa Inês;Terezinha;Regeneração;;;Fontoura Xavier;;;Nova Erechim;Emilianópolis;;
171;;;;;Iramaia;Tarrafas;;;Ouvidor;São Benedito do Rio Preto;Caxambu;;;;Janiópolis;Santa Luzia;Terra Nova;Riacho Frio;;;Formigueiro;;;Nova Itaberaba;Engenheiro Coelho;;
172;;;;;Iraquara;Tauá;;;Padre Bernardo;São Bento;Cedro do Abaeté;;;;Japira;Santana de Mangueira;Timbaúba;Ribeira do Piauí;;;Forquetinha;;;Nova Trento;Espírito Santo do Pinhal;;
